Genus TaxID	Genus	Representative organism TaxID	Representative organism	Representative Organism Rank	Refseq ID
314343	Sideroxydans	580332	Sideroxydans lithotrophicus ES-1	no rank	NC_013959.1
2723	Hirschia	582402	Hirschia baltica ATCC 49814	no rank	NC_012982.1
359407	Methylotenera	583345	Methylotenera mobilis JLW8	no rank	NC_012968.1
442430	Coraliomargarita	583355	Coraliomargarita akajimensis DSM 45221	no rank	NC_014008.1
427922	Desulfurivibrio	589865	Desulfurivibrio alkaliphilus AHT2	no rank	NC_014216.1
395331	Methanoregula	593750	Methanoregula formicica SMSP	no rank	NC_019943.1
43947	Tolumonas	595494	Tolumonas auensis DSM 9187	no rank	NC_012691.1
201096	Alicycliphilus	596153	Alicycliphilus denitrificans BC	no rank	NC_014910.1
44000	Caldicellulosiruptor	632516	Caldicellulosiruptor lactoaceticus 6A	no rank	NC_015949.1
41275	Brevundimonas	633149	Brevundimonas subvibrioides ATCC 15264	no rank	NC_014375.1
434	Acetobacter	634453	Acetobacter pasteurianus IFO 3283-03	no rank	NC_017100.1
278993	Thermincola	635013	Thermincola potens JR	no rank	NC_014152.1
152053	Starkeya	639283	Starkeya novella DSM 506	no rank	NC_014217.1
146937	Azospira	640081	Dechlorosoma suillum PS	no rank	NC_016616.1
286801	Segniliparus	640132	Segniliparus rotundus DSM 44985	no rank	NC_014168.1
12916	Acidovorax	643561	Acidovorax avenae subsp avenae ATCC 19860	no rank	NC_015138.1
869806	Marivirga	643867	Marivirga tractuosa DSM 4126	no rank	NC_014759.1
453229	Desulfarculus	644282	Desulfarculus baarsii DSM 2075	no rank	NC_014365.1
73918	Thermaerobacter	644966	Thermaerobacter marianensis DSM 12885	no rank	NC_014831.1
1068	Rhodomicrobium	648757	Rhodomicrobium vannielii ATCC 17100	no rank	NC_014664.1
1873	Micromonospora	648999	Micromonospora sp L5	species	NC_014815.1
319458	Leadbetterella	649349	Leadbetterella byssophila DSM 17132	no rank	NC_014655.1
332248	Truepera	649638	Truepera radiovictrix DSM 17093	no rank	NC_014221.1
417127	Zunongwangia	655815	Zunongwangia profunda SM-A87	no rank	NC_014041.1
1854	Frankia	656024	Frankia symbiont of Datisca glomerata	species	NC_015656.1
407	Methylobacterium	661410	Methylobacterium extorquens DM4	no rank	NC_012988.1
75309	Rhodanobacter	666685	Rhodanobacter denitrificans	species	NC_020541.1
816	Bacteroides	667015	Bacteroides salanitronis DSM 18170	no rank	NC_015164.1
81	Hyphomicrobium	670307	Hyphomicrobium denitrificans 1NES1	no rank	NC_021172.1
208447	Oceanithermus	670487	Oceanithermus profundus DSM 14977	no rank	NC_014761.1
1847	Pseudonocardia	675635	Pseudonocardia dioxanivorans CB1190	no rank	NC_015312.1
2314	Methanoplanus	679926	Methanoplanus petrolearius DSM 11571	no rank	NC_014507.1
239759	Alistipes	679935	Alistipes finegoldii DSM 17242	no rank	NC_018011.1
940557	Granulicella	682795	Granulicella mallensis MP5ACTX8	no rank	NC_016631.1
2335	Thermotoga	688269	Thermotoga thermarum DSM 5069	no rank	NC_015707.1
165695	Sphingobium	690566	Sphingobium chlorophenolicum L-1	no rank	"NC_015593.1,NC_015594.1"
28105	Sinorhizobium	693982	Sinorhizobium meliloti AK83	no rank	"NC_015591.1,NC_015590.1,NC_015596.1"
346096	Paludibacter	694427	Paludibacter propionicigenes WB4	no rank	NC_014734.1
252965	Mahella	697281	Mahella australiensis 50-1 BON	no rank	NC_015520.1
1263	Ruminococcus	697329	Ruminococcus albus 7  DSM 20455	no rank	NC_014833.1
1716	Corynebacterium	698970	Corynebacterium diphtheriae HC04	no rank	NC_016788.1
354354	Niastella	700598	Niastella koreensis GR20-10	no rank	NC_016609.1
165696	Novosphingobium	702113	Novosphingobium sp PP1Y	species	NC_015580.1
53335	Pantoea	706191	Pantoea ananatis LMG 20103	no rank	NC_013956.2
283168	Odoribacter	709991	Odoribacter splanchnicus DSM 20712	no rank	NC_015160.1
53357	Intrasporangium	710696	Intrasporangium calvum DSM 43043	no rank	NC_014830.1
547	Enterobacter	716541	Enterobacter cloacae subsp cloacae ATCC 13047	no rank	NC_014121.1
28253	Marinomonas	717774	Marinomonas mediterranea MMB-1	no rank	NC_015276.1
80865	Delftia	742013	Delftia sp Cs1-4	species	NC_015563.1
83618	Pseudoxanthomonas	743721	Pseudoxanthomonas suwonensis 11-1	no rank	NC_014924.1
28453	Sphingobacterium	743722	Sphingobacterium sp 21	species	NC_015277.1
12960	Azoarcus	748247	Azoarcus sp KH32C	species	NC_020516.1
1813	Amycolatopsis	749927	Amycolatopsis mediterranei U32	no rank	NC_014318.1
68287	Mesorhizobium	754035	Mesorhizobium australicum WSM2073	no rank	NC_019973.1
40222	Methylophaga	754476	Methylophaga nitratireducenticrescens	species	NC_017857.1
332102	Fluviicola	755732	Fluviicola taffensis DSM 16823	no rank	NC_015321.1
